airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Spicejet,2019-06-06,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Air India,2019-05-09,Kolkata,Banglore,16:45:00,08:55:00,970,2.0,No Info,13227
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No Info,14151
Jet Airways,2019-04-18,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,5443
Air India,2019-06-06,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,In-flight meal not included,9314
Indigo,2019-03-18,Mumbai,Hyderabad,19:05:00,20:30:00,85,0.0,No Info,2754
Air India,2019-03-18,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Air India,2019-04-24,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,5201
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,In-flight meal not included,8882
Indigo,2019-05-21,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No Info,6147
Jet Airways,2019-04-03,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2071
Air Asia,2019-06-27,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3807
Air India,2019-05-09,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No Info,9416
Indigo,2019-06-15,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Jet Airways,2019-06-24,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Multiple Carriers,2019-03-06,Delhi,Cochin,02:15:00,13:20:00,665,1.0,No Info,17057
Indigo,2019-06-06,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Multiple Carriers,2019-05-21,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,7888
Jet Airways,2019-05-06,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,14781
Vistara,2019-03-03,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No Info,7608
Indigo,2019-04-06,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,4174
Jet Airways,2019-05-24,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,16704
Vistara,2019-03-06,Mumbai,Hyderabad,21:55:00,16:45:00,1130,1.0,No Info,12395
Indigo,2019-06-24,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6093
Air India,2019-03-18,Banglore,New Delhi,17:25:00,23:25:00,1800,2.0,No Info,11518
Air India,2019-05-24,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,No Info,13873
Air India,2019-06-09,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Spicejet,2019-06-24,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-09,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4030
Indigo,2019-03-15,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No Info,3175
Multiple Carriers,2019-05-21,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,7888
Multiple Carriers,2019-06-27,Delhi,Cochin,11:40:00,21:00:00,560,1.0,In-flight meal not included,6007
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,22:35:00,965,1.0,No Info,13339
Spicejet,2019-04-09,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No Info,13941
Jet Airways,2019-04-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,No Info,14571
Multiple Carriers,2019-06-24,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,16:20:00,1405,1.0,No Info,14231
Jet Airways,2019-05-21,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Multiple Carriers,2019-06-12,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,6795
Indigo,2019-03-06,Chennai,Kolkata,05:15:00,07:35:00,140,0.0,No Info,6482
Spicejet,2019-03-21,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3332
Multiple Carriers,2019-03-06,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,15353
Spicejet,2019-05-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Indigo,2019-03-03,Delhi,Cochin,05:05:00,10:05:00,300,1.0,No Info,9581
Indigo,2019-05-24,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Jet Airways,2019-05-18,Delhi,Cochin,19:30:00,04:25:00,535,2.0,In-flight meal not included,13029
Air India,2019-06-06,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,8372
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,07:40:00,525,1.0,In-flight meal not included,11087
Indigo,2019-05-21,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No Info,8610
Indigo,2019-06-01,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Air India,2019-03-15,Banglore,New Delhi,10:30:00,21:25:00,655,2.0,No Info,6593
Jet Airways,2019-03-27,Delhi,Cochin,18:15:00,04:25:00,610,1.0,No Info,12242
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,18:25:00,1170,1.0,In-flight meal not included,11087
Multiple Carriers,2019-06-01,Delhi,Cochin,14:55:00,22:30:00,455,1.0,No Info,7038
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,10844
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No Info,11467
Jet Airways,2019-03-21,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,7438
Indigo,2019-06-24,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,12898
Air India,2019-05-21,Delhi,Cochin,20:00:00,19:15:00,1395,2.0,No Info,10861
Air India,2019-03-27,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,7165
Jet Airways,2019-05-15,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5198
Indigo,2019-05-27,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Indigo,2019-06-12,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,8586
Vistara,2019-05-06,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Spicejet,2019-04-09,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No Info,4649
Vistara,2019-06-03,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Multiple Carriers,2019-05-21,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,8266
Multiple Carriers,2019-05-21,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,14848
Air India,2019-04-01,Kolkata,Banglore,07:00:00,10:00:00,1620,2.0,No Info,9836
Jet Airways,2019-05-21,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,12898
Multiple Carriers,2019-03-27,Delhi,Cochin,13:00:00,01:35:00,755,1.0,No Info,12327
Air India,2019-03-03,Delhi,Cochin,05:55:00,19:15:00,2240,2.0,No Info,13748
Vistara,2019-03-06,Mumbai,Hyderabad,20:55:00,22:55:00,1560,1.0,No Info,12395
Jet Airways,2019-06-18,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,23:35:00,1720,1.0,In-flight meal not included,10844
Air India,2019-03-15,Banglore,New Delhi,06:45:00,15:15:00,510,1.0,No Info,8714
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No Info,14533
Air India,2019-05-01,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,6245
Vistara,2019-06-12,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No Info,8085
Air Asia,2019-06-09,Delhi,Cochin,07:55:00,15:45:00,470,1.0,No Info,8759
Indigo,2019-06-09,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6442
Air Asia,2019-06-06,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4508
Indigo,2019-03-21,Delhi,Cochin,06:40:00,21:20:00,880,2.0,No Info,6494
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,In-flight meal not included,8066
Air India,2019-05-21,Kolkata,Banglore,10:00:00,20:25:00,625,1.0,No Info,11096
Vistara,2019-06-06,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No Info,9187
Jet Airways,2019-06-09,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,14714
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,In-flight meal not included,13469
Multiple Carriers,2019-05-21,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No Info,8099
Spicejet,2019-05-21,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Air Asia,2019-05-18,Kolkata,Banglore,07:35:00,19:25:00,710,1.0,No Info,5192
Jet Airways,2019-06-15,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,10262
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,09:20:00,1155,1.0,No Info,13044
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No Info,14571
Air India,2019-03-09,Delhi,Cochin,04:00:00,19:15:00,915,1.0,No Info,11050
Indigo,2019-05-21,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Jet Airways,2019-06-06,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,10262
Jet Airways,2019-06-27,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,8016
Indigo,2019-03-27,Delhi,Cochin,09:10:00,15:30:00,380,1.0,No Info,10141
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,No Info,14388
Spicejet,2019-06-06,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2017
Multiple Carriers,2019-05-27,Delhi,Cochin,07:10:00,22:30:00,920,1.0,No Info,7878
Air India,2019-06-21,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3100
Indigo,2019-04-18,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4591
Indigo,2019-05-18,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,7503
Vistara,2019-03-18,Delhi,Cochin,14:55:00,17:50:00,175,0.0,No Info,5586
Multiple Carriers,2019-03-03,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,17493
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,23:35:00,1025,1.0,No Info,14571
Air India,2019-05-12,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No Info,11642
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,10624
Vistara,2019-05-24,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No Info,12996
Jet Airways,2019-05-21,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,12898
Multiple Carriers,2019-03-27,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,6953
Multiple Carriers,2019-06-06,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,7198
Spicejet,2019-05-09,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Jet Airways,2019-03-21,Banglore,New Delhi,22:50:00,11:25:00,755,1.0,In-flight meal not included,7832
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,In-flight meal not included,7064
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,No Info,11467
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,13994
Multiple Carriers,2019-03-06,Delhi,Cochin,11:30:00,18:50:00,440,1.0,No Info,15135
Multiple Carriers,2019-06-06,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,7005
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,13014
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,23:35:00,1655,1.0,No Info,12681
Indigo,2019-06-12,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No Info,5883
Vistara,2019-04-03,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5403
Jet Airways,2019-06-09,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,14571
Air India,2019-04-09,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,8341
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,12:35:00,810,2.0,No Info,15129
Spicejet,2019-03-18,Mumbai,Hyderabad,13:10:00,14:30:00,80,0.0,No check-in baggage included,2385
Air Asia,2019-03-01,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,10715
Multiple Carriers,2019-03-06,Delhi,Cochin,18:00:00,01:35:00,455,1.0,No Info,16863
Spicejet,2019-03-21,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No Info,3384
Indigo,2019-03-24,Banglore,New Delhi,16:55:00,19:45:00,170,0.0,No Info,7303
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,In-flight meal not included,10844
Indigo,2019-04-24,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No Info,6162
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,14151
Jet Airways,2019-06-15,Delhi,Cochin,21:25:00,12:35:00,910,2.0,In-flight meal not included,9905
Indigo,2019-03-03,Delhi,Cochin,07:35:00,22:20:00,885,1.0,No Info,11600
Jet Airways,2019-05-27,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,In-flight meal not included,12898
Indigo,2019-05-27,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Air Asia,2019-06-01,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,9330
Indigo,2019-04-01,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5164
Air India,2019-05-15,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,11543
Air India,2019-03-01,Banglore,New Delhi,10:30:00,11:20:00,1490,1.0,No Info,11528
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,In-flight meal not included,12898
Indigo,2019-06-03,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Air India,2019-06-24,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,11989
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,In-flight meal not included,9314
Multiple Carriers,2019-06-24,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7155
Air India,2019-03-03,Banglore,New Delhi,08:15:00,23:10:00,895,1.0,No Info,6781
Jet Airways,2019-03-01,Banglore,New Delhi,07:00:00,15:15:00,495,1.0,No Info,26890
Air India,2019-05-06,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Indigo,2019-03-01,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No Info,16000
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,No Info,13067
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,22:35:00,1660,1.0,In-flight meal not included,10844
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,20:40:00,1410,1.0,No Info,13759
Indigo,2019-03-09,Mumbai,Hyderabad,09:10:00,10:35:00,85,0.0,No Info,7417
Air Asia,2019-04-12,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,7080
Vistara,2019-03-01,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,No Info,21520
Jet Airways,2019-06-09,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,No Info,14714
Air India,2019-03-27,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,8971
Air India,2019-05-01,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Indigo,2019-05-01,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,3943
Jet Airways,2019-06-01,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262
Air India,2019-06-01,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Jet Airways,2019-05-27,Delhi,Cochin,13:25:00,04:25:00,900,2.0,No Info,16704
Jet Airways,2019-06-12,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,15190
Indigo,2019-06-15,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Multiple Carriers,2019-05-18,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13727
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,13029
Spicejet,2019-03-15,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No Info,5575
Jet Airways,2019-03-15,Banglore,New Delhi,21:25:00,05:05:00,460,1.0,No Info,27210
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,12373
Spicejet,2019-06-03,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Indigo,2019-05-27,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,5054
Jet Airways,2019-05-21,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Jet Airways,2019-05-09,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,12373
Spicejet,2019-06-18,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Indigo,2019-03-09,Banglore,New Delhi,01:30:00,04:15:00,165,0.0,No Info,6860
Indigo,2019-03-21,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3384
Spicejet,2019-05-24,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No Info,8479
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13292
Multiple Carriers,2019-06-06,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,12192
Jet Airways,2019-03-09,Delhi,Cochin,19:15:00,18:50:00,1415,1.0,No Info,16289
Air India,2019-05-15,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,13307
Multiple Carriers,2019-05-18,Delhi,Cochin,11:40:00,19:00:00,440,1.0,No Info,10529
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,09:30:00,640,1.0,No Info,17261
Air India,2019-05-15,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,No Info,12803
Air India,2019-03-21,Banglore,New Delhi,10:30:00,11:20:00,1490,1.0,No Info,6383
Multiple Carriers,2019-06-15,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,12717
Jet Airways,2019-06-21,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,8541
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,No Info,12576
Indigo,2019-04-24,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Vistara,2019-05-09,Kolkata,Banglore,20:20:00,10:45:00,865,1.0,No Info,8452
Air India,2019-03-01,Banglore,New Delhi,08:50:00,11:10:00,1580,2.0,No Info,19372
Indigo,2019-06-24,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,In-flight meal not included,7757
Indigo,2019-06-15,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,4423
Air India,2019-06-27,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,8669
Multiple Carriers,2019-03-27,Delhi,Cochin,16:00:00,01:35:00,575,1.0,No Info,12327
Spicejet,2019-05-21,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No Info,4649
Indigo,2019-03-27,Delhi,Cochin,02:05:00,07:25:00,320,1.0,No Info,4744
Jet Airways,2019-06-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,5678
Vistara,2019-06-01,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Jet Airways,2019-03-27,Delhi,Cochin,23:05:00,04:25:00,320,1.0,In-flight meal not included,7438
Indigo,2019-04-21,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,10844
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,In-flight meal not included,9663
